metric,value
total_time_sec,1.501008199993521
runtime_ms_patch,3.002016399987042
psnr,15.422737084368087
ssim,0.2062073880189498
mse,0.028689718799947188
measurement_residual,0.725298476751662
coefficient_error,1.2938430872247093
dc_error,0.6734624224078927
ac_error,1.034485015199448
mean_iterations,150.0
median_iterations,150.0
max_iterations,150
pct_max_iter,100.0
final_sigma,0.01
active_support_ratio,0.999815625
mean_active_count,63.9882
min_active_count,62
mean_mu,0.12663825
failed_line_searches,0
backtracking_steps,240
mean_objective,-5.762769605945984
