image,noise,patch,clean_hash,noisy_hash,A_hash,A_dc_hash,dct_patch_hash,y_hash,V7_y_hash,OMP_y_hash,LASSO_y_hash,matched,A6_dim_check
test001,15.0,37604,730ca90508a632a2,375f6661ab961cb7,a5ed13de9744104a,4c7824b75d9789b2,858d6e03601ae5a6,7c9db8b59589dd61,7c9db8b59589dd61,7c9db8b59589dd61,7c9db8b59589dd61,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test002,15.0,37604,4acdb439e0284d69,6d8d4fb9fd3b601f,a5ed13de9744104a,4c7824b75d9789b2,934e921865b7566c,01570af8c91bfc96,01570af8c91bfc96,01570af8c91bfc96,01570af8c91bfc96,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test003,15.0,37604,084b567e41ce74d5,2afd5981c7370172,a5ed13de9744104a,4c7824b75d9789b2,42214c358fc454e9,671250afa4d95161,671250afa4d95161,671250afa4d95161,671250afa4d95161,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test004,15.0,37604,b64c81715209d578,5deebce25f22323b,a5ed13de9744104a,4c7824b75d9789b2,3a29560328838211,6ce039cb15ab3837,6ce039cb15ab3837,6ce039cb15ab3837,6ce039cb15ab3837,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test005,15.0,37604,8da1db3626e76507,17253750608af1c7,a5ed13de9744104a,4c7824b75d9789b2,4b524a210ff4b037,511ceafa803d7ca8,511ceafa803d7ca8,511ceafa803d7ca8,511ceafa803d7ca8,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test006,15.0,37604,379ae9a750014a40,6ca5bd417198dced,a5ed13de9744104a,4c7824b75d9789b2,ca1dc68589d44e19,19ec1349230f2e3c,19ec1349230f2e3c,19ec1349230f2e3c,19ec1349230f2e3c,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test007,15.0,37604,02862254a56d809f,e7ed31d234a74966,a5ed13de9744104a,4c7824b75d9789b2,f22a377d9bb1c5ed,fd1dcd3ae5f481fb,fd1dcd3ae5f481fb,fd1dcd3ae5f481fb,fd1dcd3ae5f481fb,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test008,15.0,37604,7c190224a4e2ab10,da95511928584742,a5ed13de9744104a,4c7824b75d9789b2,2ed7f1dd073121e3,b50e5f49d18600eb,b50e5f49d18600eb,b50e5f49d18600eb,b50e5f49d18600eb,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test009,15.0,37604,fe6b3d6ee4249ea7,726c4b9cd0db602a,a5ed13de9744104a,4c7824b75d9789b2,ee38d07ee02305a5,62297874e6291605,62297874e6291605,62297874e6291605,62297874e6291605,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
test010,15.0,37604,23b6cd24f00ba63d,c19c968fe5fe24dd,a5ed13de9744104a,4c7824b75d9789b2,c5332d5f13515b60,7c1c4b2c95c60afd,7c1c4b2c95c60afd,7c1c4b2c95c60afd,7c1c4b2c95c60afd,PASS,"A_ac: (37, 63) (37x63), DC: scalar (theta[0])"
