image_id,solver,mean_psnr,mean_ssim,mean_mse,mean_runtime,best_psnr_flag,best_ssim_flag
test001,V7_OPT_BASE,19.9897,0.4148,0.010091,38.752,NO,NO
test001,V7_A6_DC_PRESERVATION,21.1650,0.4225,0.007657,64.206,YES,NO
test001,OMP,21.0841,0.5531,0.009846,170.678,NO,NO
test001,LASSO-ADMM,18.1374,0.5703,0.016587,186.209,NO,YES
test002,V7_OPT_BASE,18.4317,0.4480,0.014576,35.401,NO,NO
test002,V7_A6_DC_PRESERVATION,24.0621,0.6837,0.004024,58.005,YES,YES
test002,OMP,22.2463,0.4159,0.008475,169.358,NO,NO
test002,LASSO-ADMM,14.8030,0.3796,0.034248,187.009,NO,NO
test003,V7_OPT_BASE,21.9493,0.6172,0.006554,36.839,NO,NO
test003,V7_A6_DC_PRESERVATION,24.1979,0.6901,0.003819,53.616,YES,YES
test003,OMP,21.7554,0.3773,0.009252,169.829,NO,NO
test003,LASSO-ADMM,18.2658,0.4119,0.016707,187.206,NO,NO
test004,V7_OPT_BASE,25.1975,0.6345,0.003102,37.906,NO,NO
test004,V7_A6_DC_PRESERVATION,26.4086,0.6801,0.002302,54.875,YES,YES
test004,OMP,22.0723,0.3992,0.008892,169.937,NO,NO
test004,LASSO-ADMM,20.9889,0.4485,0.010199,186.750,NO,NO
test005,V7_OPT_BASE,17.8928,0.4020,0.016650,40.227,NO,NO
test005,V7_A6_DC_PRESERVATION,22.6468,0.5661,0.005489,68.648,YES,YES
test005,OMP,21.8254,0.5101,0.008835,169.160,NO,NO
test005,LASSO-ADMM,13.9765,0.4431,0.041245,186.168,NO,NO
test006,V7_OPT_BASE,20.1254,0.4947,0.010212,41.483,NO,NO
test006,V7_A6_DC_PRESERVATION,28.0556,0.7844,0.001664,60.366,YES,YES
test006,OMP,22.6719,0.3457,0.007874,169.156,NO,NO
test006,LASSO-ADMM,15.0144,0.3163,0.032932,186.720,NO,NO
test007,V7_OPT_BASE,22.1799,0.5319,0.006087,38.934,NO,NO
test007,V7_A6_DC_PRESERVATION,23.0815,0.5588,0.004929,69.313,YES,YES
test007,OMP,21.6954,0.5057,0.009161,170.288,NO,NO
test007,LASSO-ADMM,20.3604,0.5389,0.010834,187.314,NO,NO
test008,V7_OPT_BASE,20.3373,0.4032,0.009264,38.640,NO,NO
test008,V7_A6_DC_PRESERVATION,20.9426,0.4278,0.008051,55.307,YES,NO
test008,OMP,20.9123,0.5194,0.010051,169.930,NO,NO
test008,LASSO-ADMM,19.6743,0.5511,0.011940,186.757,NO,YES
test009,V7_OPT_BASE,21.7672,0.4894,0.006662,43.280,NO,NO
test009,V7_A6_DC_PRESERVATION,23.9075,0.6285,0.004094,56.835,YES,YES
test009,OMP,22.0892,0.4577,0.008243,169.984,NO,NO
test009,LASSO-ADMM,20.5254,0.5002,0.010021,186.772,NO,NO
test010,V7_OPT_BASE,24.2865,0.5898,0.003813,37.241,NO,NO
test010,V7_A6_DC_PRESERVATION,25.5466,0.6329,0.002800,56.072,YES,YES
test010,OMP,21.8714,0.3950,0.009278,169.904,NO,NO
test010,LASSO-ADMM,20.3709,0.4387,0.011501,186.593,NO,NO
