comparison,metric,mean_diff (m1 - m2),std_diff,cohen_d,ci_95_low,ci_95_high,shapiro_normality_p,paired_ttest_p,wilcoxon_p,interpretation
A6 vs V7,psnr,+2.785690,2.413198,+1.1544,+1.884587,+3.686793,1.3778e-04,6.5982e-07,1.8626e-09,Substantial difference
A6 vs V7,ssim,+0.104930,0.100908,+1.0399,+0.067250,+0.142610,8.3858e-04,3.6830e-06,1.7333e-06,Substantial difference
A6 vs V7,mse,-0.004218,0.004297,-0.9816,-0.005823,-0.002614,6.1263e-05,8.9105e-06,1.8626e-09,Substantial difference
A6 vs V7,solve_time,+20.854033,7.912052,+2.6357,+17.899625,+23.808442,4.8392e-03,8.9812e-15,1.8626e-09,Substantial difference
A6 vs OMP,psnr,+2.179039,3.473583,+0.6273,+0.881981,+3.476096,2.4085e-01,1.8031e-03,3.4752e-03,Moderate difference
A6 vs OMP,ssim,+0.159580,0.228401,+0.6987,+0.074294,+0.244867,5.8560e-01,6.3886e-04,1.3406e-03,Moderate difference
A6 vs OMP,mse,-0.004508,0.006640,-0.6789,-0.006987,-0.002028,1.0824e-03,8.5449e-04,5.3828e-03,Moderate difference
A6 vs OMP,solve_time,-110.097971,9.321048,-11.8118,-113.578507,-106.617434,2.0732e-04,6.5209e-33,1.8626e-09,Substantial difference
A6 vs LASSO,psnr,+5.789720,3.888441,+1.4890,+4.337752,+7.241687,2.1968e-01,5.4167e-09,5.5879e-09,Substantial difference
A6 vs LASSO,ssim,+0.147626,0.230582,+0.6402,+0.061526,+0.233727,6.7083e-01,1.4978e-03,1.4575e-03,Moderate difference
A6 vs LASSO,mse,-0.015139,0.013958,-1.0846,-0.020351,-0.009926,6.4906e-03,1.8763e-06,5.5879e-09,Substantial difference
A6 vs LASSO,solve_time,-127.025399,11.417349,-11.1256,-131.288707,-122.762091,1.7470e-03,3.6532e-32,1.8626e-09,Substantial difference
