noise_sigma,solver,PSNR,SSIM,MSE,runtime,residual,relative_residual,iterations
15.0,V7_OPT_BASE,21.8114,0.5393,0.007435,40.621,0.5499,0.3024,150.0
15.0,V7_A6_DC_PRESERVATION,24.4601,0.6264,0.004107,58.691,0.5163,1.1287,97.8
15.0,OMP,25.7802,0.6390,0.002700,166.444,0.0000,0.0000,37.9
15.0,LASSO-ADMM,20.3264,0.6377,0.012460,178.817,0.0799,0.0427,100.0
25.0,V7_OPT_BASE,21.6058,0.5290,0.007825,42.090,0.7022,0.3649,150.0
25.0,V7_A6_DC_PRESERVATION,24.3006,0.6220,0.004213,63.030,0.6859,1.0557,97.8
25.0,OMP,22.3251,0.4608,0.005889,171.532,0.0000,0.0000,37.9
25.0,LASSO-ADMM,18.7122,0.4794,0.016256,186.728,0.0847,0.0433,100.0
50.0,V7_OPT_BASE,20.2300,0.4394,0.010843,33.900,1.0421,0.4651,150.0
50.0,V7_A6_DC_PRESERVATION,23.2435,0.5740,0.005129,57.453,1.0786,0.9925,97.8
50.0,OMP,17.3618,0.2440,0.018384,171.491,0.0000,0.0000,37.9
50.0,LASSO-ADMM,15.5964,0.2624,0.030148,194.704,0.0911,0.0403,100.0
