iteration,sigma,active_count,active_ratio,reopening_step,relative_change,residual
1,8.956902,64,1.0000,True,2.397e-04,0.001165
2,8.509056,64,1.0000,False,2.240e-04,0.002163
3,8.083604,64,1.0000,False,2.185e-04,0.003070
4,7.679423,64,1.0000,True,2.196e-04,0.003934
5,7.295452,64,1.0000,False,2.254e-04,0.004788
6,6.930680,64,1.0000,False,2.348e-04,0.005655
7,6.584146,64,1.0000,True,2.474e-04,0.006551
8,6.254938,64,1.0000,False,2.627e-04,0.007492
9,5.942192,64,1.0000,False,2.808e-04,0.008487
10,5.645082,64,1.0000,True,3.016e-04,0.009549
11,5.362828,64,1.0000,False,3.252e-04,0.010686
12,5.094686,64,1.0000,False,3.518e-04,0.011908
13,4.839952,64,1.0000,True,3.815e-04,0.013222
14,4.597955,64,1.0000,False,4.145e-04,0.014637
15,4.368057,64,1.0000,False,4.513e-04,0.016161
16,4.149654,64,1.0000,True,4.922e-04,0.017802
17,3.942171,64,1.0000,False,5.378e-04,0.019567
18,3.745063,64,1.0000,False,5.887e-04,0.021463
19,3.557810,64,1.0000,True,6.456e-04,0.023498
20,3.379919,64,1.0000,False,7.095e-04,0.025677
21,3.210923,64,1.0000,False,7.814e-04,0.028007
22,3.050377,64,1.0000,True,8.628e-04,0.030493
23,2.897858,64,1.0000,False,9.551e-04,0.033140
24,2.752965,64,1.0000,False,1.060e-03,0.035953
25,2.615317,64,1.0000,True,1.179e-03,0.038938
26,2.484551,64,1.0000,False,1.315e-03,0.042100
27,2.360324,64,1.0000,False,1.469e-03,0.045444
28,2.242307,64,1.0000,True,1.644e-03,0.048978
29,2.130192,64,1.0000,False,1.840e-03,0.052712
30,2.023682,64,1.0000,False,2.061e-03,0.056657
31,1.922498,64,1.0000,True,2.308e-03,0.060830
32,1.826373,64,1.0000,False,2.581e-03,0.065252
33,1.735055,64,1.0000,False,2.882e-03,0.069949
34,1.648302,64,1.0000,True,3.209e-03,0.074955
35,1.565887,64,1.0000,False,3.565e-03,0.080306
36,1.487593,64,1.0000,False,3.947e-03,0.086050
37,1.413213,64,1.0000,True,4.355e-03,0.092234
38,1.342552,64,1.0000,False,4.788e-03,0.098914
39,1.275425,64,1.0000,False,5.246e-03,0.106144
40,1.211653,64,1.0000,True,5.728e-03,0.113976
41,1.151071,64,1.0000,False,6.234e-03,0.122461
42,1.093517,64,1.0000,False,6.764e-03,0.131643
43,1.038841,64,1.0000,True,7.319e-03,0.141558
44,0.986899,64,1.0000,False,7.898e-03,0.152238
45,0.937554,64,1.0000,False,8.503e-03,0.163705
46,0.890677,64,1.0000,True,9.133e-03,0.175979
47,0.846143,64,1.0000,False,9.788e-03,0.189076
48,0.803836,64,1.0000,False,1.047e-02,0.203012
49,0.763644,64,1.0000,True,1.117e-02,0.217803
50,0.725462,64,1.0000,False,1.189e-02,0.233463
51,0.689189,64,1.0000,False,1.263e-02,0.250011
