patch_id,initial_sigma,iterations_to_sigma_lt_1,iterations_to_sigma_lt_0_1,iterations_to_sigma_min,iterations_at_sigma_min,total_iterations,max_iter_hit,converged_at_sigma_min
0,8.9569,44,89,134,17,150,True,False
1,8.5952,43,88,133,18,150,True,False
2,8.0168,42,87,132,19,150,True,False
3,8.0507,42,87,132,19,150,True,False
4,8.1881,42,87,132,19,150,True,False
5,8.7905,44,89,134,17,150,True,False
6,8.9906,44,89,134,17,150,True,False
7,8.6746,44,89,133,18,150,True,False
8,8.4467,43,88,133,18,150,True,False
9,7.9239,42,87,132,19,150,True,False
10,7.5063,41,86,131,20,150,True,False
11,6.9665,39,84,129,22,150,True,False
12,6.2583,37,82,127,24,150,True,False
13,5.8947,36,81,126,25,150,True,False
14,6.0163,36,81,126,25,150,True,False
15,6.7817,39,84,129,22,150,True,False
16,7.4929,41,86,131,20,150,True,False
17,8.2201,43,87,132,19,150,True,False
18,8.8626,44,89,134,17,150,True,False
19,9.3656,45,90,135,16,150,True,False
20,9.3765,45,90,135,16,150,True,False
21,9.4792,45,90,135,16,150,True,False
22,9.4696,45,90,135,16,150,True,False
23,9.4794,45,90,135,16,150,True,False
24,9.4056,45,90,135,16,150,True,False
25,9.4293,45,90,135,16,150,True,False
26,9.3322,45,90,135,16,150,True,False
27,9.3609,45,90,135,16,150,True,False
28,9.3967,45,90,135,16,150,True,False
29,9.4585,45,90,135,16,150,True,False
30,9.4220,45,90,135,16,150,True,False
31,9.3956,45,90,135,16,150,True,False
32,9.5945,46,90,135,16,150,True,False
33,9.3924,45,90,135,16,150,True,False
34,9.4095,45,90,135,16,150,True,False
35,9.5527,45,90,135,16,150,True,False
36,9.4963,45,90,135,16,150,True,False
37,9.4215,45,90,135,16,150,True,False
38,9.4688,45,90,135,16,150,True,False
39,9.5626,46,90,135,16,150,True,False
40,9.5158,45,90,135,16,150,True,False
41,9.4950,45,90,135,16,150,True,False
42,9.4497,45,90,135,16,150,True,False
43,9.5238,45,90,135,16,150,True,False
44,9.4456,45,90,135,16,150,True,False
45,9.4377,45,90,135,16,150,True,False
46,9.3687,45,90,135,16,150,True,False
47,9.2738,45,90,135,16,150,True,False
48,9.1228,45,89,134,17,150,True,False
49,9.4603,45,90,135,16,150,True,False
50,9.0889,45,89,134,17,150,True,False
51,7.7382,41,86,131,20,150,True,False
52,6.6538,38,83,128,23,150,True,False
53,4.8978,32,77,122,29,150,True,False
54,4.4611,31,76,120,31,150,True,False
55,4.6367,31,76,121,30,150,True,False
56,5.4933,35,80,124,27,150,True,False
57,5.8755,36,81,126,25,150,True,False
58,5.6274,35,80,125,26,150,True,False
59,5.3381,34,79,124,27,150,True,False
60,4.8680,32,77,122,29,150,True,False
61,4.7758,32,77,122,29,150,True,False
62,4.8431,32,77,122,29,150,True,False
63,5.6213,35,80,125,26,150,True,False
64,5.6919,35,80,125,26,150,True,False
65,6.0384,37,81,126,25,150,True,False
66,6.4526,38,83,128,23,150,True,False
67,7.0198,39,84,129,22,150,True,False
68,7.8256,42,87,131,20,150,True,False
69,8.5146,43,88,133,18,150,True,False
70,9.2240,45,90,135,16,150,True,False
71,9.2912,45,90,135,16,150,True,False
72,9.3248,45,90,135,16,150,True,False
73,9.3845,45,90,135,16,150,True,False
74,9.2585,45,90,135,16,150,True,False
75,9.3521,45,90,135,16,150,True,False
76,8.7147,44,89,133,18,150,True,False
77,7.8387,42,87,131,20,150,True,False
78,7.2745,40,85,130,21,150,True,False
79,6.7294,39,84,128,23,150,True,False
80,7.0604,40,84,129,22,150,True,False
81,7.4966,41,86,131,20,150,True,False
82,7.7182,41,86,131,20,150,True,False
83,7.7673,41,86,131,20,150,True,False
84,7.7079,41,86,131,20,150,True,False
85,7.8473,42,87,131,20,150,True,False
86,8.1839,42,87,132,19,150,True,False
87,8.7304,44,89,134,17,150,True,False
88,9.0706,44,89,134,17,150,True,False
89,9.2655,45,90,135,16,150,True,False
90,9.3680,45,90,135,16,150,True,False
91,9.3897,45,90,135,16,150,True,False
92,9.2062,45,90,135,16,150,True,False
93,9.0502,44,89,134,17,150,True,False
94,9.1445,45,90,134,17,150,True,False
95,9.1384,45,90,134,17,150,True,False
96,9.2465,45,90,135,16,150,True,False
97,9.4087,45,90,135,16,150,True,False
98,9.3559,45,90,135,16,150,True,False
99,9.3110,45,90,135,16,150,True,False
100,8.9709,44,89,134,17,150,True,False
101,9.0426,44,89,134,17,150,True,False
102,8.8895,44,89,134,17,150,True,False
103,9.0343,44,89,134,17,150,True,False
104,8.8656,44,89,134,17,150,True,False
105,8.7512,44,89,134,17,150,True,False
106,8.4654,43,88,133,18,150,True,False
107,8.5216,43,88,133,18,150,True,False
108,7.9138,42,87,132,19,150,True,False
109,7.7445,41,86,131,20,150,True,False
110,6.5856,38,83,128,23,150,True,False
111,6.1342,37,82,127,24,150,True,False
112,6.1545,37,82,127,24,150,True,False
113,6.0478,37,81,126,25,150,True,False
114,6.0393,37,81,126,25,150,True,False
115,5.9598,36,81,126,25,150,True,False
116,5.6548,35,80,125,26,150,True,False
117,5.3932,34,79,124,27,150,True,False
118,5.5758,35,80,125,26,150,True,False
119,5.4425,35,79,124,27,150,True,False
120,5.3508,34,79,124,27,150,True,False
121,5.4201,34,79,124,27,150,True,False
122,5.3477,34,79,124,27,150,True,False
123,5.0178,33,78,123,28,150,True,False
124,4.7053,32,77,121,30,150,True,False
125,4.7748,32,77,122,29,150,True,False
126,4.6910,32,77,121,30,150,True,False
127,4.7181,32,77,122,29,150,True,False
128,4.4514,31,76,120,31,150,True,False
129,4.8940,32,77,122,29,150,True,False
130,4.9988,33,78,123,28,150,True,False
131,4.8730,32,77,122,29,150,True,False
132,4.8914,32,77,122,29,150,True,False
133,3.8070,28,72,117,34,150,True,False
134,4.3074,30,75,120,31,150,True,False
135,3.2412,24,69,114,37,150,True,False
136,3.2153,24,69,114,37,150,True,False
137,3.0823,23,68,113,38,150,True,False
138,3.2811,25,70,114,37,150,True,False
139,3.4276,26,70,115,36,150,True,False
140,3.3805,25,70,115,36,150,True,False
141,2.8809,22,67,112,39,150,True,False
142,2.8844,22,67,112,39,150,True,False
143,2.7394,21,66,111,40,150,True,False
144,3.0186,23,68,113,38,150,True,False
145,3.8492,28,73,118,33,150,True,False
146,3.8182,28,73,117,34,150,True,False
147,4.1049,29,74,119,32,150,True,False
148,3.7220,27,72,117,34,150,True,False
149,3.4709,26,71,116,35,150,True,False
150,2.9859,23,68,113,38,150,True,False
151,2.3673,18,63,108,43,150,True,False
152,3.0701,23,68,113,38,150,True,False
153,2.3603,18,63,108,43,150,True,False
154,2.6935,21,66,111,40,150,True,False
155,2.4355,19,64,109,42,150,True,False
156,2.3904,18,63,108,43,150,True,False
157,2.2562,17,62,107,44,150,True,False
158,8.9955,44,89,134,17,150,True,False
159,8.3381,43,88,133,18,150,True,False
160,7.8410,42,87,131,20,150,True,False
161,8.0132,42,87,132,19,150,True,False
162,7.7064,41,86,131,20,150,True,False
163,8.1437,42,87,132,19,150,True,False
164,8.3630,43,88,133,18,150,True,False
165,7.8084,42,86,131,20,150,True,False
166,7.5171,41,86,131,20,150,True,False
167,6.9877,39,84,129,22,150,True,False
168,6.6294,38,83,128,23,150,True,False
169,6.2633,37,82,127,24,150,True,False
170,6.3596,38,82,127,24,150,True,False
171,5.9854,36,81,126,25,150,True,False
172,6.8349,39,84,129,22,150,True,False
173,7.4229,41,85,130,21,150,True,False
174,8.1811,42,87,132,19,150,True,False
175,9.0142,44,89,134,17,150,True,False
176,9.3382,45,90,135,16,150,True,False
177,9.4642,45,90,135,16,150,True,False
178,9.4298,45,90,135,16,150,True,False
179,9.5180,45,90,135,16,150,True,False
180,9.5193,45,90,135,16,150,True,False
181,9.5248,45,90,135,16,150,True,False
182,9.4049,45,90,135,16,150,True,False
183,9.4530,45,90,135,16,150,True,False
184,9.4657,45,90,135,16,150,True,False
185,9.3850,45,90,135,16,150,True,False
186,9.3332,45,90,135,16,150,True,False
187,9.4113,45,90,135,16,150,True,False
188,9.5430,45,90,135,16,150,True,False
189,9.4643,45,90,135,16,150,True,False
190,9.4614,45,90,135,16,150,True,False
191,9.4920,45,90,135,16,150,True,False
192,9.5250,45,90,135,16,150,True,False
193,9.4608,45,90,135,16,150,True,False
194,9.4344,45,90,135,16,150,True,False
195,9.3952,45,90,135,16,150,True,False
196,9.4735,45,90,135,16,150,True,False
197,9.3905,45,90,135,16,150,True,False
198,9.4820,45,90,135,16,150,True,False
199,9.4666,45,90,135,16,150,True,False
200,9.4546,45,90,135,16,150,True,False
201,9.5002,45,90,135,16,150,True,False
202,9.3987,45,90,135,16,150,True,False
203,9.3495,45,90,135,16,150,True,False
204,9.1150,45,89,134,17,150,True,False
205,9.2343,45,90,135,16,150,True,False
206,8.9776,44,89,134,17,150,True,False
207,9.3556,45,90,135,16,150,True,False
208,9.3207,45,90,135,16,150,True,False
209,7.9721,42,87,132,19,150,True,False
210,6.7854,39,84,129,22,150,True,False
211,5.2799,34,79,124,27,150,True,False
212,4.3793,30,75,120,31,150,True,False
213,4.6683,32,76,121,30,150,True,False
214,5.2971,34,79,124,27,150,True,False
215,5.3507,34,79,124,27,150,True,False
216,5.5839,35,80,125,26,150,True,False
217,5.2823,34,79,124,27,150,True,False
218,4.7968,32,77,122,29,150,True,False
219,4.8911,32,77,122,29,150,True,False
220,5.0032,33,78,123,28,150,True,False
221,5.5331,35,80,125,26,150,True,False
222,5.9293,36,81,126,25,150,True,False
223,5.9143,36,81,126,25,150,True,False
224,6.3006,37,82,127,24,150,True,False
225,6.9399,39,84,129,22,150,True,False
226,7.6490,41,86,131,20,150,True,False
227,8.2999,43,88,133,18,150,True,False
228,9.1858,45,90,135,16,150,True,False
229,9.1671,45,90,134,17,150,True,False
230,9.3550,45,90,135,16,150,True,False
231,9.2706,45,90,135,16,150,True,False
232,9.4533,45,90,135,16,150,True,False
233,9.2547,45,90,135,16,150,True,False
234,8.5108,43,88,133,18,150,True,False
235,7.7557,41,86,131,20,150,True,False
236,7.1327,40,85,130,21,150,True,False
237,6.5158,38,83,128,23,150,True,False
238,7.0580,40,84,129,22,150,True,False
239,7.2407,40,85,130,21,150,True,False
240,7.6609,41,86,131,20,150,True,False
241,7.6738,41,86,131,20,150,True,False
242,7.6265,41,86,131,20,150,True,False
243,7.7468,41,86,131,20,150,True,False
244,8.0815,42,87,132,19,150,True,False
245,8.6800,44,89,133,18,150,True,False
246,9.1874,45,90,135,16,150,True,False
247,9.2779,45,90,135,16,150,True,False
248,9.4099,45,90,135,16,150,True,False
249,9.4826,45,90,135,16,150,True,False
250,9.2869,45,90,135,16,150,True,False
251,9.0977,45,89,134,17,150,True,False
252,8.8752,44,89,134,17,150,True,False
253,8.8657,44,89,134,17,150,True,False
254,9.0846,45,89,134,17,150,True,False
255,9.1053,45,89,134,17,150,True,False
256,9.1941,45,90,135,16,150,True,False
257,8.9637,44,89,134,17,150,True,False
258,8.7208,44,89,134,17,150,True,False
259,8.5972,43,88,133,18,150,True,False
