         2592758 function calls in 2.225 seconds

   Ordered by: cumulative time
   List reduced from 44 to 35 due to restriction <35>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    1.331    0.003    2.225    0.004 C:\Users\Carlo Mendoza\OneDrive\Desktop\ASL-SR-DPT\code\hybrid_sparse_solver_v7_optimized.py:103(denoise_patch)
   150500    0.180    0.000    0.372    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\_linalg.py:2598(norm)
   256671    0.253    0.000    0.253    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   154671    0.058    0.000    0.242    0.000 {method 'sum' of 'numpy.ndarray' objects}
   154671    0.031    0.000    0.184    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_methods.py:47(_sum)
   150500    0.085    0.000    0.085    0.000 {method 'dot' of 'numpy.ndarray' objects}
    50000    0.020    0.000    0.081    0.000 {method 'any' of 'numpy.ndarray' objects}
    50000    0.019    0.000    0.074    0.000 {method 'all' of 'numpy.ndarray' objects}
    50000    0.012    0.000    0.061    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_methods.py:55(_any)
    50000    0.011    0.000    0.055    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_methods.py:64(_all)
   375000    0.051    0.000    0.051    0.000 {method 'append' of 'list' objects}
   150500    0.028    0.000    0.041    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\_linalg.py:169(isComplexType)
   150500    0.033    0.000    0.033    0.000 {method 'ravel' of 'numpy.ndarray' objects}
   301500    0.029    0.000    0.029    0.000 {built-in method builtins.issubclass}
   151000    0.017    0.000    0.017    0.000 {built-in method numpy.asarray}
    75500    0.015    0.000    0.015    0.000 {built-in method builtins.max}
      500    0.003    0.000    0.015    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\fromnumeric.py:3699(mean)
   154240    0.014    0.000    0.014    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\multiarray.py:748(dot)
   150500    0.013    0.000    0.013    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\linalg\_linalg.py:2594(_norm_dispatcher)
      500    0.003    0.000    0.011    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_methods.py:115(_mean)
     1000    0.002    0.000    0.007    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\fromnumeric.py:66(_wrapreduction)
      500    0.001    0.000    0.007    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\fromnumeric.py:2304(sum)
      500    0.003    0.000    0.006    0.000 C:\Users\Carlo Mendoza\OneDrive\Desktop\ASL-SR-DPT\code\hybrid_sparse_solver_v7_optimized.py:48(_validate_inputs)
      500    0.003    0.000    0.003    0.000 {built-in method numpy.asanyarray}
      500    0.001    0.000    0.002    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\fromnumeric.py:2548(all)
      500    0.000    0.000    0.002    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\fromnumeric.py:3011(max)
      500    0.002    0.000    0.002    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\_methods.py:73(_count_reduce_items)
      500    0.001    0.000    0.002    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\fromnumeric.py:86(_wrapreduction_any_all)
      876    0.000    0.000    0.001    0.000 C:\Users\Carlo Mendoza\AppData\Local\Programs\Python\Python312\Lib\site-packages\numpy\_core\numeric.py:483(count_nonzero)
      500    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1500    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
      876    0.001    0.000    0.001    0.000 {method 'copy' of 'numpy.ndarray' objects}
      500    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      876    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.count_nonzero}
     1500    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}


