patch_id,iteration,sigma,data_fidelity,sparsity_term,total_objective,gradient_fidelity_norm,gradient_sparsity_norm,gradient_total_norm,gradient_ratio,lambda_over_sigma2
0,1,8.956902,0.000000,-6.383601,-6.383601,0.000000,0.006209,0.006209,6209367590.4569,0.0012
0,6,6.930680,0.000011,-6.373025,-6.373013,0.004884,0.010107,0.006077,2.0693,0.0021
0,11,5.362828,0.000046,-6.355999,-6.355953,0.009170,0.016225,0.008407,1.7694,0.0035
0,26,2.484551,0.000758,-6.228739,-6.227981,0.035144,0.060029,0.033729,1.7081,0.0162
0,51,0.689189,0.027252,-5.527119,-5.499867,0.207064,0.422023,0.311013,2.0381,0.2105
0,76,0.191174,0.357892,-5.655551,-5.297659,0.890368,1.076557,0.511522,1.2091,2.7362
0,101,0.053030,0.225721,-5.894927,-5.669206,0.806586,0.605756,0.457320,0.7510,35.5601
0,126,0.014710,0.212569,-5.894883,-5.682314,0.772472,2.169865,1.756738,2.8090,462.1501
1,1,8.595188,0.000000,-6.383286,-6.383286,0.000000,0.006537,0.006537,6536760461.3071,0.0014
1,6,6.650792,0.000013,-6.372504,-6.372491,0.005237,0.010645,0.006396,2.0328,0.0023
1,11,5.146256,0.000050,-6.355136,-6.355086,0.009746,0.017104,0.008906,1.7550,0.0038
1,26,2.384215,0.000836,-6.224938,-6.224102,0.037531,0.063698,0.035769,1.6972,0.0176
1,51,0.661357,0.031110,-5.507068,-5.475958,0.227796,0.448349,0.324966,1.9682,0.2286
1,76,0.183453,0.345401,-5.636201,-5.290801,0.877855,1.015566,0.451263,1.1569,2.9713
1,101,0.050888,0.325805,-5.990257,-5.664452,0.939309,0.863478,0.381329,0.9193,38.6161
1,126,0.014116,0.325037,-5.997929,-5.672892,0.949255,1.440597,0.576426,1.5176,501.8662
2,1,8.016840,0.000000,-6.382639,-6.382639,0.000000,0.007148,0.007148,7148278763.1712,0.0016
2,6,6.203278,0.000016,-6.371437,-6.371421,0.005951,0.011647,0.006578,1.9572,0.0026
2,11,4.799978,0.000063,-6.353379,-6.353317,0.011127,0.018732,0.008959,1.6835,0.0043
2,26,2.223788,0.001034,-6.217495,-6.216461,0.043430,0.070088,0.036404,1.6138,0.0202
2,51,0.616856,0.038832,-5.478941,-5.440109,0.273201,0.488658,0.332634,1.7886,0.2628
2,76,0.171109,0.385143,-5.531190,-5.146047,0.948658,1.055937,0.402152,1.1131,3.4155
2,101,0.047464,0.352638,-5.681450,-5.328812,0.920999,1.274775,0.590666,1.3841,44.3887
2,126,0.013166,0.365768,-5.699314,-5.333546,0.949833,0.889472,0.258478,0.9365,576.8889
3,1,8.050656,0.000000,-6.382843,-6.382843,0.000000,0.007074,0.007074,7074046965.2701,0.0015
3,6,6.229444,0.000015,-6.371779,-6.371764,0.005666,0.011523,0.006786,2.0337,0.0026
3,11,4.820225,0.000060,-6.353952,-6.353891,0.010643,0.018523,0.009351,1.7403,0.0043
3,26,2.233168,0.001006,-6.220221,-6.219215,0.041197,0.069063,0.037660,1.6764,0.0201
3,51,0.619458,0.037301,-5.514146,-5.476844,0.242581,0.471369,0.334568,1.9431,0.2606
3,76,0.171831,0.343742,-5.611222,-5.267480,0.789501,0.941489,0.433528,1.1925,3.3869
3,101,0.047664,0.384029,-5.788099,-5.404070,0.890454,1.018966,0.340717,1.1443,44.0166
3,126,0.013222,0.396643,-5.799320,-5.402676,0.916036,0.882015,0.122701,0.9629,572.0528
4,1,8.188068,0.000000,-6.382830,-6.382830,0.000000,0.006960,0.006960,6960088697.8439,0.0015
4,6,6.335771,0.000014,-6.371752,-6.371737,0.005415,0.011341,0.006914,2.0944,0.0025
4,11,4.902499,0.000057,-6.353899,-6.353842,0.010177,0.018239,0.009616,1.7921,0.0042
4,26,2.271285,0.000981,-6.219695,-6.218714,0.039566,0.068366,0.038396,1.7279,0.0194
4,51,0.630031,0.039023,-5.486968,-5.447945,0.246266,0.479825,0.338962,1.9484,0.2519
4,76,0.174764,0.423369,-5.678860,-5.255491,0.925878,1.136492,0.549106,1.2275,3.2741
4,101,0.048478,0.436716,-5.984589,-5.547873,1.068219,1.141061,0.274360,1.0682,42.5516
4,126,0.013447,0.451572,-5.998918,-5.547347,1.098718,1.093407,0.171938,0.9952,553.0135
5,1,8.790466,0.000000,-6.383342,-6.383342,0.000000,0.006380,0.006380,6380023265.4492,0.0013
5,6,6.801895,0.000012,-6.372596,-6.372584,0.004931,0.010389,0.006355,2.1067,0.0022
5,11,5.263176,0.000048,-6.355288,-6.355240,0.009276,0.016690,0.008828,1.7992,0.0036
5,26,2.438383,0.000811,-6.225596,-6.224785,0.035764,0.062111,0.035301,1.7367,0.0168
5,51,0.676382,0.031576,-5.505394,-5.473817,0.222475,0.449232,0.326450,2.0193,0.2186
5,76,0.187621,0.374822,-5.602304,-5.227482,0.869016,1.072370,0.550015,1.2340,2.8408
