patch_id,solver,measurement_residual,coefficient_error,DC_error,AC_error,patch_psnr
0,ASL-SR-DPT,0.659937,1.489871,1.154627,0.941570,14.60
0,OMP,0.000000,0.616025,0.172365,0.591419,22.27
0,LASSO-ADMM,0.093970,2.479538,1.869895,1.628375,10.17
1,ASL-SR-DPT,0.811919,1.564013,0.853249,1.310764,14.18
1,OMP,0.000044,1.068257,0.004252,1.068248,17.49
1,LASSO-ADMM,0.090012,1.963013,1.324462,1.448868,12.20
2,ASL-SR-DPT,0.856743,1.688019,0.864748,1.449696,13.51
2,OMP,0.000000,1.396211,0.073615,1.394269,15.16
2,LASSO-ADMM,0.079574,2.055853,1.325582,1.571420,11.80
3,ASL-SR-DPT,0.892930,2.182217,1.213485,1.813705,11.28
3,OMP,0.000000,0.883869,0.120911,0.875559,19.13
3,LASSO-ADMM,0.087852,2.120966,1.381578,1.609266,11.53
4,ASL-SR-DPT,0.951588,1.722071,0.882192,1.478940,13.34
4,OMP,0.000000,1.257809,0.035109,1.257319,16.07
4,LASSO-ADMM,0.087639,2.692081,1.751617,2.044294,9.46
5,ASL-SR-DPT,0.836794,1.768551,1.178086,1.319047,13.11
5,OMP,0.000010,0.831174,0.062077,0.828853,19.67
5,LASSO-ADMM,0.098799,2.321633,1.654514,1.628670,10.75
6,ASL-SR-DPT,0.606616,1.419345,0.968659,1.037420,15.02
6,OMP,0.000000,0.533246,0.071994,0.528364,23.52
6,LASSO-ADMM,0.094273,2.214626,1.600105,1.531088,11.16
7,ASL-SR-DPT,0.535133,1.496176,0.963177,1.144916,14.56
7,OMP,0.000000,0.763437,0.126405,0.752900,20.41
7,LASSO-ADMM,0.078880,2.032634,1.430552,1.443995,11.90
8,ASL-SR-DPT,0.598562,1.148753,0.664911,0.936764,16.86
8,OMP,0.000000,1.129677,0.145442,1.120275,17.00
8,LASSO-ADMM,0.080710,1.677810,1.159722,1.212473,13.57
9,ASL-SR-DPT,0.624804,0.688421,0.363427,0.584675,21.30
9,OMP,0.000000,0.713624,0.205618,0.683360,20.99
9,LASSO-ADMM,0.075322,1.619977,1.082315,1.205371,13.87
10,ASL-SR-DPT,0.767454,1.154509,0.424142,1.073776,16.81
10,OMP,0.000000,0.861651,0.142734,0.849747,19.36
10,LASSO-ADMM,0.095989,1.372812,0.922609,1.016566,15.31
11,ASL-SR-DPT,0.713027,0.889185,0.249248,0.853537,19.08
11,OMP,0.000000,1.423689,0.305566,1.390510,14.99
11,LASSO-ADMM,0.091500,1.102206,0.695171,0.855332,17.22
12,ASL-SR-DPT,0.793722,0.964284,0.366365,0.891975,18.38
12,OMP,0.000000,0.985596,0.268905,0.948204,18.19
12,LASSO-ADMM,0.086770,1.144693,0.772791,0.844463,16.89
13,ASL-SR-DPT,0.807610,1.014250,0.073716,1.011567,17.94
13,OMP,0.000000,1.137813,0.187311,1.122289,16.94
13,LASSO-ADMM,0.066499,1.447366,0.839055,1.179345,14.85
14,ASL-SR-DPT,0.875390,1.730745,0.639113,1.608420,13.30
14,OMP,0.000013,1.152511,0.155743,1.141940,16.83
14,LASSO-ADMM,0.087513,1.853226,1.199871,1.412358,12.70
15,ASL-SR-DPT,1.242575,2.148851,0.873935,1.963109,11.42
15,OMP,0.000000,0.978926,0.271862,0.940418,18.25
15,LASSO-ADMM,0.085571,2.534428,1.441562,2.084520,9.98
16,ASL-SR-DPT,1.030675,2.375541,1.122497,2.093608,10.55
16,OMP,0.000000,1.194867,0.249008,1.168632,16.52
16,LASSO-ADMM,0.074381,2.906252,1.831267,2.256715,8.80
17,ASL-SR-DPT,0.844845,2.450596,1.533340,1.911620,10.28
17,OMP,0.000000,0.881414,0.061659,0.879255,19.16
