patch_id,iterations,objective_evaluations,gradient_evaluations,candidate_evaluations,midpoint_evaluations,backtracking_attempts,accepted_steps,failed_line_searches,support_mask_calculations
0,141,289,141,141,7,141,141,0,141
1,139,286,139,140,7,140,139,0,139
2,139,286,139,140,7,140,139,0,139
3,141,289,141,141,7,141,141,0,141
4,139,285,139,139,7,139,139,0,139
5,141,289,141,141,7,141,141,0,141
6,141,290,141,142,7,142,141,0,141
7,141,289,141,141,7,141,141,0,141
8,139,285,139,139,7,139,139,0,139
9,139,285,139,139,7,139,139,0,139
10,137,282,137,138,7,138,137,0,137
11,136,280,136,137,7,137,136,0,136
12,134,275,134,134,7,134,134,0,134
13,133,274,133,134,7,134,133,0,133
14,135,277,135,135,7,135,135,0,135
15,141,289,141,141,7,141,141,0,141
16,140,287,140,140,7,140,140,0,140
17,150,307,150,150,7,150,150,0,150
18,142,291,142,142,7,142,142,0,142
19,143,293,143,143,7,143,143,0,143
20,142,292,142,143,7,143,142,0,142
21,142,291,142,142,7,142,142,0,142
22,144,296,144,145,7,145,144,0,144
23,145,297,145,145,7,145,145,0,145
24,142,291,142,142,7,142,142,0,142
25,142,291,142,142,7,142,142,0,142
26,142,292,142,143,7,143,142,0,142
27,150,307,150,150,7,150,150,0,150
28,144,295,144,144,7,144,144,0,144
29,142,292,142,143,7,143,142,0,142
30,142,292,142,143,7,143,142,0,142
31,142,291,142,142,7,142,142,0,142
32,142,292,142,143,7,143,142,0,142
33,142,291,142,142,7,142,142,0,142
34,142,292,142,143,7,143,142,0,142
35,142,292,142,143,7,143,142,0,142
36,142,291,142,142,7,142,142,0,142
37,142,291,142,142,7,142,142,0,142
38,143,293,143,143,7,143,143,0,143
39,142,291,142,142,7,142,142,0,142
40,143,293,143,143,7,143,143,0,143
41,142,291,142,142,7,142,142,0,142
42,142,292,142,143,7,143,142,0,142
43,142,292,142,143,7,143,142,0,142
44,142,292,142,143,7,143,142,0,142
45,141,289,141,141,7,141,141,0,141
46,142,292,142,143,7,143,142,0,142
47,141,289,141,141,7,141,141,0,141
48,142,291,142,142,7,142,142,0,142
49,142,292,142,143,7,143,142,0,142
50,141,289,141,141,7,141,141,0,141
51,150,307,150,150,7,150,150,0,150
52,135,277,135,135,7,135,135,0,135
53,150,307,150,150,7,150,150,0,150
54,128,263,128,128,7,128,128,0,128
55,131,269,131,131,7,131,131,0,131
56,133,273,133,133,7,133,133,0,133
57,133,273,133,133,7,133,133,0,133
58,134,275,134,134,7,134,134,0,134
59,130,267,130,130,7,130,130,0,130
60,129,265,129,129,7,129,129,0,129
61,129,265,129,129,7,129,129,0,129
62,132,271,132,132,7,132,132,0,132
63,133,273,133,133,7,133,133,0,133
64,133,273,133,133,7,133,133,0,133
65,133,273,133,133,7,133,133,0,133
66,134,275,134,134,7,134,134,0,134
67,150,307,150,150,7,150,150,0,150
68,150,307,150,150,7,150,150,0,150
69,140,288,140,141,7,141,140,0,140
70,142,292,142,143,7,143,142,0,142
71,142,292,142,143,7,143,142,0,142
72,144,295,144,144,7,144,144,0,144
73,142,292,142,143,7,143,142,0,142
74,142,292,142,143,7,143,142,0,142
75,142,292,142,143,7,143,142,0,142
76,140,288,140,141,7,141,140,0,140
77,138,283,138,138,7,138,138,0,138
78,150,307,150,150,7,150,150,0,150
79,135,277,135,135,7,135,135,0,135
80,138,283,138,138,7,138,138,0,138
81,137,282,137,138,7,138,137,0,137
82,138,284,138,139,7,139,138,0,138
83,138,284,138,139,7,139,138,0,138
84,138,284,138,139,7,139,138,0,138
85,140,287,140,140,7,140,140,0,140
86,140,288,140,141,7,141,140,0,140
87,141,290,141,142,7,142,141,0,141
88,142,291,142,142,7,142,142,0,142
89,142,292,142,143,7,143,142,0,142
90,142,291,142,142,7,142,142,0,142
91,142,292,142,143,7,143,142,0,142
92,141,290,141,142,7,142,141,0,141
93,141,289,141,141,7,141,141,0,141
94,141,289,141,141,7,141,141,0,141
95,142,291,142,142,7,142,142,0,142
96,142,292,142,143,7,143,142,0,142
97,142,291,142,142,7,142,142,0,142
98,145,297,145,145,7,145,145,0,145
99,142,291,142,142,7,142,142,0,142
100,141,289,141,141,7,141,141,0,141
101,141,290,141,142,7,142,141,0,141
102,141,289,141,141,7,141,141,0,141
103,141,290,141,142,7,142,141,0,141
104,141,289,141,141,7,141,141,0,141
105,140,287,140,140,7,140,140,0,140
106,140,288,140,141,7,141,140,0,140
107,139,285,139,139,7,139,139,0,139
108,138,283,138,138,7,138,138,0,138
109,137,282,137,138,7,138,137,0,137
110,135,278,135,136,7,136,135,0,135
111,134,275,134,134,7,134,134,0,134
112,133,273,133,133,7,133,133,0,133
113,134,275,134,134,7,134,134,0,134
114,133,274,133,134,7,134,133,0,133
115,133,273,133,133,7,133,133,0,133
116,132,271,132,132,7,132,132,0,132
117,132,271,132,132,7,132,132,0,132
118,131,269,131,131,7,131,131,0,131
119,132,271,132,132,7,132,132,0,132
120,131,269,131,131,7,131,131,0,131
121,132,271,132,132,7,132,132,0,132
122,134,275,134,134,7,134,134,0,134
123,132,271,132,132,7,132,132,0,132
124,131,269,131,131,7,131,131,0,131
125,131,269,131,131,7,131,131,0,131
126,129,265,129,129,7,129,129,0,129
127,131,269,131,131,7,131,131,0,131
128,131,269,131,131,7,131,131,0,131
129,131,269,131,131,7,131,131,0,131
130,130,267,130,130,7,130,130,0,130
131,150,307,150,150,7,150,150,0,150
132,129,265,129,129,7,129,129,0,129
133,150,307,150,150,7,150,150,0,150
134,127,261,127,127,7,127,127,0,127
135,122,251,122,122,7,122,122,0,122
136,150,308,150,151,7,151,150,0,150
137,150,308,150,151,7,151,150,0,150
138,133,273,133,133,7,133,133,0,133
139,124,255,124,124,7,124,124,0,124
140,123,253,123,123,7,123,123,0,123
141,121,249,121,121,7,121,121,0,121
142,123,253,123,123,7,123,123,0,123
143,120,247,120,120,7,120,120,0,120
144,124,255,124,124,7,124,124,0,124
145,123,253,123,123,7,123,123,0,123
146,127,261,127,127,7,127,127,0,127
147,129,265,129,129,7,129,129,0,129
148,127,261,127,127,7,127,127,0,127
149,123,253,123,123,7,123,123,0,123
150,122,251,122,122,7,122,122,0,122
151,120,247,120,120,7,120,120,0,120
152,119,245,119,119,7,119,119,0,119
153,150,307,150,150,7,150,150,0,150
154,117,241,117,117,7,117,117,0,117
155,117,241,117,117,7,117,117,0,117
156,150,307,150,150,7,150,150,0,150
157,150,307,150,150,7,150,150,0,150
158,141,289,141,141,7,141,141,0,141
159,142,291,142,142,7,142,142,0,142
160,150,308,150,151,7,151,150,0,150
161,143,293,143,143,7,143,143,0,143
162,138,283,138,138,7,138,138,0,138
163,141,289,141,141,7,141,141,0,141
164,140,287,140,140,7,140,140,0,140
165,150,308,150,151,7,151,150,0,150
166,138,283,138,138,7,138,138,0,138
167,138,283,138,138,7,138,138,0,138
168,137,281,137,137,7,137,137,0,137
169,134,275,134,134,7,134,134,0,134
170,136,279,136,136,7,136,136,0,136
171,134,275,134,134,7,134,134,0,134
172,139,285,139,139,7,139,139,0,139
