patch_id,iteration,sigma,fidelity_term,sparsity_term,total_objective,ratio_sparsity_to_fidelity
0,1,12.937692,0.000000,-6.388596,-6.388596,0.0000
0,2,12.290808,0.000000,-6.387404,-6.387403,25220844.3992
0,3,11.676267,0.000001,-6.386090,-6.386089,8403991.5712
0,4,11.092454,0.000001,-6.384645,-6.384643,4620180.5133
0,5,10.537831,0.000002,-6.383055,-6.383053,3030089.2441
0,6,10.010940,0.000003,-6.381309,-6.381306,2158889.8957
0,7,9.510393,0.000004,-6.379392,-6.379388,1609848.1440
0,8,9.034873,0.000005,-6.377290,-6.377284,1234520.7241
0,9,8.583129,0.000007,-6.374987,-6.374980,964655.4727
0,10,8.153973,0.000008,-6.372466,-6.372458,764067.2086
0,11,7.746274,0.000010,-6.369712,-6.369702,611504.2795
0,12,7.358960,0.000013,-6.366706,-6.366694,493517.8916
0,13,6.991012,0.000016,-6.363431,-6.363415,401115.5742
0,14,6.641462,0.000019,-6.359867,-6.359847,328032.5111
0,15,6.309389,0.000024,-6.355996,-6.355972,269766.3823
0,16,5.993919,0.000028,-6.351800,-6.351771,223003.2202
0,17,5.694223,0.000034,-6.347260,-6.347226,185257.7005
0,18,5.409512,0.000041,-6.342359,-6.342318,154638.0078
0,19,5.139037,0.000049,-6.337080,-6.337031,129686.6736
0,20,4.882085,0.000058,-6.331409,-6.331351,109269.6953
0,21,4.637981,0.000068,-6.325331,-6.325263,92497.4227
0,22,4.406081,0.000080,-6.318835,-6.318755,78666.9782
0,23,4.185777,0.000094,-6.311913,-6.311819,67219.6470
0,24,3.976489,0.000109,-6.304556,-6.304446,57708.9004
0,25,3.777664,0.000127,-6.296760,-6.296633,49776.1170
0,26,3.588781,0.000146,-6.288522,-6.288376,43131.9680
0,27,3.409342,0.000167,-6.279843,-6.279675,37542.0320
0,28,3.238875,0.000191,-6.270720,-6.270529,32815.6125
0,29,3.076931,0.000217,-6.261155,-6.260938,28797.0135
0,30,2.923084,0.000247,-6.251145,-6.250899,25358.7266
0,31,2.776930,0.000279,-6.240685,-6.240406,22396.1250
0,32,2.638084,0.000314,-6.229762,-6.229448,19823.3556
0,33,2.506180,0.000354,-6.218359,-6.218005,17570.1875
0,34,2.380871,0.000398,-6.206445,-6.206047,15579.6105
