patch_id,initial_sigma,final_sigma,number_of_sigma_updates,number_of_iterations_at_sigma_min,max_iter_hit,converged_at_sigma_min
0,12.937692,0.010000,141,1,False,True
1,11.653874,0.010000,139,1,False,True
2,11.157175,0.010000,139,2,False,True
3,11.299886,0.010000,141,3,False,True
4,11.498770,0.010000,139,1,False,True
5,12.575308,0.010000,141,1,False,True
6,12.605214,0.010000,141,1,False,True
7,11.856954,0.010000,141,3,False,True
8,11.435449,0.010000,139,1,False,True
9,11.004154,0.010000,139,2,False,True
10,10.319392,0.010000,137,1,False,True
11,9.576396,0.010000,136,2,False,True
12,8.936431,0.010000,134,1,False,True
13,8.503986,0.010000,133,1,False,True
14,9.308397,0.010000,135,1,False,True
15,9.902745,0.010000,141,6,False,True
16,11.193986,0.010000,140,3,False,True
17,12.256525,0.010000,150,11,True,False
18,13.001626,0.010000,142,2,False,True
19,13.327599,0.010000,143,2,False,True
20,13.341776,0.010000,142,1,False,True
21,13.394291,0.010000,142,1,False,True
22,13.410822,0.010000,144,3,False,True
23,13.508579,0.010000,145,4,False,True
24,13.422460,0.010000,142,1,False,True
25,13.275610,0.010000,142,1,False,True
26,13.361269,0.010000,142,1,False,True
27,13.475539,0.010000,150,9,True,False
28,13.472212,0.010000,144,3,False,True
29,13.460650,0.010000,142,1,False,True
30,13.587153,0.010000,142,1,False,True
31,13.457596,0.010000,142,1,False,True
32,13.587165,0.010000,142,1,False,True
33,13.562700,0.010000,142,1,False,True
34,13.610568,0.010000,142,1,False,True
35,13.585598,0.010000,142,1,False,True
36,13.465476,0.010000,142,1,False,True
37,13.569938,0.010000,142,1,False,True
38,13.470819,0.010000,143,2,False,True
39,13.470192,0.010000,142,1,False,True
40,13.537984,0.010000,143,2,False,True
41,13.568352,0.010000,142,1,False,True
42,13.613404,0.010000,142,1,False,True
43,13.593128,0.010000,142,1,False,True
44,13.489480,0.010000,142,1,False,True
45,13.122165,0.010000,141,1,False,True
46,13.130148,0.010000,142,2,False,True
47,13.086431,0.010000,141,1,False,True
48,13.104931,0.010000,142,2,False,True
49,13.578987,0.010000,142,1,False,True
50,12.699064,0.010000,141,1,False,True
51,10.758062,0.010000,150,13,True,False
52,9.099263,0.010000,135,2,False,True
53,6.771792,0.010000,150,22,True,False
54,6.642347,0.010000,128,1,False,True
55,7.072243,0.010000,131,3,False,True
56,7.847623,0.010000,133,3,False,True
57,8.319256,0.010000,133,1,False,True
58,8.275969,0.010000,134,3,False,True
59,7.408512,0.010000,130,1,False,True
60,6.818224,0.010000,129,1,False,True
61,6.870308,0.010000,129,1,False,True
62,7.455672,0.010000,132,3,False,True
63,8.317493,0.010000,133,1,False,True
64,8.387035,0.010000,133,1,False,True
65,8.605469,0.010000,133,1,False,True
66,8.961470,0.010000,134,1,False,True
67,10.049159,0.010000,150,15,True,False
68,11.387151,0.010000,150,12,True,False
69,12.413963,0.010000,140,1,False,True
70,13.342300,0.010000,142,1,False,True
