patch_id,solver,runtime,iterations,residual,recovered_coefficient_norm,support_size,patch_psnr,measurement_error,coefficient_error,DC_error,AC_error
0,ASL-SR-DPT,0.005254,141,0.660529,7.429157,61,19.11,0.660529,0.886041,0.168882,0.869797
0,OMP,0.002738,38,0.000000,7.541954,38,16.92,0.000000,1.140035,0.154928,1.129459
0,LASSO-ADMM,0.002452,100,0.005581,7.038460,39,17.88,0.103507,1.020760,0.617892,0.812503
1,ASL-SR-DPT,0.005746,139,0.822498,6.644365,59,16.94,0.822498,1.137585,0.402421,1.064029
1,OMP,0.002457,38,0.000000,6.952755,38,20.68,0.000000,0.740013,0.134834,0.727626
1,LASSO-ADMM,0.002319,100,0.003181,6.410813,37,15.95,0.106576,1.275562,0.641611,1.102449
2,ASL-SR-DPT,0.006764,139,0.990065,6.082612,58,13.26,0.990065,1.738300,0.558020,1.646299
2,OMP,0.002483,38,0.000000,6.551519,38,17.81,0.000000,1.029825,0.268978,0.994077
2,LASSO-ADMM,0.002357,100,0.003611,6.003284,39,15.09,0.106700,1.407745,0.763989,1.182400
3,ASL-SR-DPT,0.006967,141,0.987437,6.564987,64,15.62,0.987437,1.324818,0.167811,1.314147
3,OMP,0.002427,38,0.000000,6.796977,38,16.22,0.000000,1.235586,0.156458,1.225641
3,LASSO-ADMM,0.002316,100,0.001224,6.145590,45,15.06,0.100774,1.413579,0.685502,1.236241
4,ASL-SR-DPT,0.005641,139,1.080525,6.393654,57,13.97,1.080525,1.602409,0.477424,1.529635
4,OMP,0.002276,37,0.000045,6.839704,37,17.44,0.000045,1.074661,0.208685,1.054204
4,LASSO-ADMM,0.002313,100,0.000698,6.171141,43,14.80,0.117639,1.456313,0.810332,1.210045
5,ASL-SR-DPT,0.005811,141,0.741853,7.257911,60,16.54,0.741853,1.191935,0.138878,1.183816
5,OMP,0.002454,38,0.000000,7.200773,38,19.91,0.000000,0.808031,0.237000,0.772493
5,LASSO-ADMM,0.002341,100,0.003251,6.825808,39,16.84,0.085605,1.150824,0.619430,0.969898
6,ASL-SR-DPT,0.005535,141,0.665649,7.147464,62,18.35,0.665649,0.967574,0.295171,0.921451
6,OMP,0.002485,38,0.000000,7.476552,38,20.74,0.000000,0.734461,0.028033,0.733926
6,LASSO-ADMM,0.002319,100,0.001080,6.872907,40,16.67,0.091903,1.173540,0.632123,0.988745
7,ASL-SR-DPT,0.005840,141,0.865683,6.734619,59,16.74,0.865683,1.164496,0.374695,1.102567
7,OMP,0.002418,38,0.000000,7.195642,38,22.13,0.000000,0.625725,0.040464,0.624415
7,LASSO-ADMM,0.002312,100,0.001502,6.428821,42,15.29,0.109315,1.375141,0.770499,1.139010
8,ASL-SR-DPT,0.005534,139,1.009869,6.330923,62,16.07,1.009869,1.257470,0.457802,1.171174
8,OMP,0.002412,38,0.000000,6.943322,38,17.35,0.000000,1.085075,0.030550,1.084645
8,LASSO-ADMM,0.002397,100,0.001536,6.344716,47,16.95,0.098042,1.137104,0.548084,0.996298
9,ASL-SR-DPT,0.005262,139,0.987268,6.445296,62,16.18,0.987268,1.242457,0.057550,1.241123
9,OMP,0.002426,38,0.000000,6.523584,38,19.49,0.000000,0.848768,0.025857,0.848374
9,LASSO-ADMM,0.002305,100,0.001428,6.099531,37,17.67,0.082137,1.045993,0.370595,0.978142
10,ASL-SR-DPT,0.005520,137,0.857534,5.839242,59,17.92,0.857534,1.015939,0.135554,1.006856
10,OMP,0.002689,38,0.000000,6.395289,38,15.94,0.000000,1.276990,0.243220,1.253614
10,LASSO-ADMM,0.002272,100,0.004071,5.716408,39,20.28,0.092161,0.774369,0.315402,0.707227
11,ASL-SR-DPT,0.005240,136,0.681683,5.482882,61,19.45,0.681683,0.852734,0.065612,0.850206
11,OMP,0.002524,38,0.000000,5.790995,38,16.91,0.000000,1.141467,0.118490,1.135301
11,LASSO-ADMM,0.002513,100,0.001914,5.220276,35,19.27,0.098215,0.870429,0.371090,0.787362
12,ASL-SR-DPT,0.005168,134,0.751569,5.128918,58,20.00,0.751569,0.799583,0.015683,0.799430
12,OMP,0.002478,38,0.000000,5.164662,38,21.35,0.000000,0.684453,0.042569,0.683128
12,LASSO-ADMM,0.002317,100,0.003232,5.012536,34,21.43,0.089054,0.678362,0.147316,0.662173
13,ASL-SR-DPT,0.004985,133,0.741531,5.072489,62,17.92,0.741531,1.016637,0.099940,1.011713
13,OMP,0.002459,38,0.000000,5.412792,38,12.53,0.000000,1.889692,0.091164,1.887492
13,LASSO-ADMM,0.002287,100,0.000436,4.785039,41,18.69,0.089379,0.930560,0.283299,0.886388
14,ASL-SR-DPT,0.005460,135,1.099608,5.300643,63,15.17,1.099608,1.395071,0.076400,1.392977
14,OMP,0.002461,38,0.000000,5.855183,38,14.50,0.000000,1.507750,0.180478,1.496910
14,LASSO-ADMM,0.002328,100,0.000812,5.134633,41,18.70,0.090831,0.929332,0.342054,0.864093
15,ASL-SR-DPT,0.005520,141,1.140096,5.571606,61,13.69,1.140096,1.653509,0.400987,1.604151
15,OMP,0.002456,38,0.000000,5.917293,38,16.61,0.000000,1.182305,0.231644,1.159390
15,LASSO-ADMM,0.002289,100,0.000731,5.564819,42,15.07,0.089484,1.411388,0.460146,1.334272
16,ASL-SR-DPT,0.005744,140,1.326315,6.137228,62,13.34,1.326315,1.722813,0.563588,1.628021
16,OMP,0.002823,38,0.000000,6.768031,38,19.35,0.000000,0.861771,0.095652,0.856447
16,LASSO-ADMM,0.002286,100,0.000898,6.158867,48,15.13,0.099734,1.401536,0.694384,1.217430
17,ASL-SR-DPT,0.005764,150,1.083874,6.690648,62,14.46,1.083874,1.513220,0.708123,1.337310
17,OMP,0.002450,38,0.000000,7.253014,38,18.20,0.000000,0.984471,0.241821,0.954309
17,LASSO-ADMM,0.002502,100,0.000281,6.560098,44,13.86,0.102233,1.622503,0.919421,1.336856
18,ASL-SR-DPT,0.005722,142,0.561402,7.527447,62,18.59,0.561402,0.940625,0.200455,0.919017
18,OMP,0.002672,38,0.000000,7.487396,38,17.17,0.000000,1.108337,0.316594,1.062158
18,LASSO-ADMM,0.002315,100,0.001342,7.035150,41,15.77,0.083780,1.301219,0.746359,1.065889
19,ASL-SR-DPT,0.006514,143,0.330732,7.708340,57,28.44,0.330732,0.302697,0.195581,0.231027
19,OMP,0.002587,38,0.000000,7.660412,38,22.93,0.000000,0.570802,0.263088,0.506556
19,LASSO-ADMM,0.002312,100,0.003075,7.338920,37,19.89,0.083915,0.809735,0.587533,0.557203
20,ASL-SR-DPT,0.005527,142,0.306495,7.757868,56,31.07,0.306495,0.223696,0.178407,0.134948
20,OMP,0.002460,38,0.000000,7.725583,38,23.80,0.000000,0.516776,0.225205,0.465124
20,LASSO-ADMM,0.002598,100,0.003110,7.392642,35,19.97,0.067380,0.802709,0.564031,0.571150
21,ASL-SR-DPT,0.005336,142,0.324681,7.610800,56,26.97,0.324681,0.358413,0.354396,0.053513
21,OMP,0.002480,38,0.000000,7.715256,38,22.67,0.000000,0.588398,0.267051,0.524306
21,LASSO-ADMM,0.002341,100,0.003731,7.309156,37,19.53,0.085078,0.844552,0.673953,0.508975
22,ASL-SR-DPT,0.005930,144,0.218724,7.794542,44,32.49,0.218724,0.189908,0.157909,0.105498
22,OMP,0.002449,38,0.000000,7.793870,38,26.89,0.000000,0.361976,0.165461,0.321946
22,LASSO-ADMM,0.002334,100,0.002127,7.405050,33,20.28,0.064396,0.774177,0.566243,0.527938
23,ASL-SR-DPT,0.005762,145,0.242412,7.755339,49,31.28,0.242412,0.218353,0.185347,0.115432
23,OMP,0.002455,38,0.000000,7.768161,38,26.58,0.000000,0.375221,0.180738,0.328824
23,LASSO-ADMM,0.002581,100,0.003031,7.474262,35,21.93,0.073469,0.640722,0.478574,0.426019
24,ASL-SR-DPT,0.005714,142,0.265422,7.640079,49,28.18,0.265422,0.311798,0.284431,0.127738
24,OMP,0.003402,38,0.000000,7.721040,38,26.14,0.000000,0.394604,0.212157,0.332718
24,LASSO-ADMM,0.002306,100,0.002312,7.433207,36,21.71,0.078554,0.656895,0.503455,0.421953
25,ASL-SR-DPT,0.005416,142,0.225087,7.641809,49,27.77,0.225087,0.327080,0.234662,0.227849
25,OMP,0.002526,38,0.000000,7.607786,38,22.77,0.000000,0.581458,0.285571,0.506501
25,LASSO-ADMM,0.002315,100,0.002873,7.353983,36,20.92,0.071199,0.719340,0.536904,0.478731
26,ASL-SR-DPT,0.005461,142,0.275041,7.676811,53,27.81,0.275041,0.325414,0.177601,0.272676
26,OMP,0.002553,38,0.000000,7.706710,38,26.33,0.000000,0.385869,0.158057,0.352013
26,LASSO-ADMM,0.002726,100,0.004998,7.372169,36,20.59,0.075901,0.747848,0.499066,0.556965
27,ASL-SR-DPT,0.005719,150,0.319290,7.653538,53,27.25,0.319290,0.347151,0.217050,0.270930
27,OMP,0.003048,37,0.000045,7.702932,37,25.48,0.000045,0.425750,0.178693,0.386435
27,LASSO-ADMM,0.002314,100,0.004999,7.362427,31,20.55,0.084921,0.750804,0.525726,0.536021
28,ASL-SR-DPT,0.005486,144,0.313052,7.739607,51,28.35,0.313052,0.306067,0.146668,0.268637
28,OMP,0.002447,38,0.000000,7.745570,38,24.82,0.000000,0.459339,0.151112,0.433771
28,LASSO-ADMM,0.002322,100,0.002194,7.448700,38,21.28,0.074483,0.690088,0.452411,0.521100
29,ASL-SR-DPT,0.005478,142,0.256290,7.682475,53,27.89,0.256290,0.322462,0.260172,0.190505
29,OMP,0.002445,38,0.000000,7.838135,38,24.79,0.000000,0.460782,0.117508,0.445547
29,LASSO-ADMM,0.002321,100,0.006263,7.413706,37,20.77,0.080644,0.732513,0.543667,0.490919
30,ASL-SR-DPT,0.006544,142,0.203248,7.833600,48,34.24,0.203248,0.155260,0.152675,0.028215
30,OMP,0.002520,38,0.000000,7.862815,38,27.11,0.000000,0.352652,0.130109,0.327773
30,LASSO-ADMM,0.002311,100,0.002715,7.528490,30,21.63,0.069294,0.662755,0.472308,0.464940
31,ASL-SR-DPT,0.005319,142,0.204255,7.730948,48,29.65,0.204255,0.263270,0.262679,0.017628
31,OMP,0.002327,37,0.000013,7.833427,37,26.47,0.000013,0.379712,0.167690,0.340678
31,LASSO-ADMM,0.002503,100,0.004876,7.448409,31,20.80,0.073661,0.729467,0.559989,0.467477
32,ASL-SR-DPT,0.005655,142,0.229500,7.755299,48,30.29,0.229500,0.244701,0.244701,0.000266
32,OMP,0.002529,36,0.000024,7.837200,36,24.78,0.000024,0.461162,0.174436,0.426899
32,LASSO-ADMM,0.002642,100,0.001945,7.455426,40,20.55,0.078263,0.750899,0.561279,0.498813
33,ASL-SR-DPT,0.005418,142,0.250652,7.792589,54,31.73,0.250652,0.207411,0.207411,0.000327
33,OMP,0.002507,38,0.000000,7.820951,38,25.66,0.000000,0.416961,0.187912,0.372217
33,LASSO-ADMM,0.002972,100,0.004092,7.482329,37,21.26,0.080640,0.691926,0.530844,0.443808
34,ASL-SR-DPT,0.005215,142,0.231346,7.830379,50,33.47,0.231346,0.169621,0.169621,0.000287
34,OMP,0.002746,38,0.000000,7.858798,38,27.43,0.000000,0.340198,0.147189,0.306709
34,LASSO-ADMM,0.002571,100,0.001871,7.483359,36,21.27,0.079327,0.691565,0.529850,0.444434
35,ASL-SR-DPT,0.005513,142,0.147319,7.771766,44,30.89,0.147319,0.228234,0.228234,0.000167
35,OMP,0.002625,38,0.000000,7.779570,38,26.11,0.000000,0.395939,0.227191,0.324271
35,LASSO-ADMM,0.002340,100,0.002194,7.514250,36,22.18,0.072536,0.622383,0.495213,0.376994
36,ASL-SR-DPT,0.005754,142,0.171108,7.715029,45,28.97,0.171108,0.284971,0.284971,0.000200
36,OMP,0.002478,37,0.000022,7.702068,37,25.44,0.000022,0.427821,0.303824,0.301201
36,LASSO-ADMM,0.002370,100,0.002120,7.450834,30,21.17,0.060321,0.699074,0.560861,0.417301
37,ASL-SR-DPT,0.005247,142,0.188738,7.824057,48,33.15,0.188738,0.175943,0.175943,0.000214
37,OMP,0.002698,38,0.000000,7.869810,38,26.34,0.000000,0.385542,0.138421,0.359836
37,LASSO-ADMM,0.002725,100,0.003173,7.469168,32,20.73,0.074041,0.735689,0.547048,0.491911
38,ASL-SR-DPT,0.005192,143,0.195891,7.746516,51,29.98,0.195891,0.253484,0.253484,0.000252
