component,total_time,mean_time_per_patch,percentage_of_solver_time,percentage_of_total_time,patch_count
pseudoinverse_setup,0.000786,0.00000157,0.00,0.02,500
forward_dct,0.006328,0.00001266,0.00,0.18,500
measurement_generation,0.000800,0.00000160,0.00,0.02,500
asl_solver_total,3.520275,0.00704055,100.00,99.19,500
  solver_objective_evaluation,0.673661,0.00134732,19.14,18.98,500
  solver_gradient_evaluation,1.064100,0.00212820,30.23,29.98,500
  solver_armijo_candidate_checks,0.668257,0.00133651,18.98,18.83,500
  solver_midpoint_evaluation,0.033373,0.00006675,0.95,0.94,500
  solver_support_mask_calculation,0.208293,0.00041659,5.92,5.87,500
  solver_final_residual_calc,0.001369,0.00000274,0.04,0.04,500
  solver_internal_overhead,0.871221,0.00174244,24.75,24.55,500
inverse_idct,0.003268,0.00000654,0.00,0.09,500
hamming_aggregation,0.003240,0.00000648,0.00,0.09,500
metric_calculation,0.014208,0.00002842,0.00,0.40,500
