iteration,sigma,norm_g_fidelity,norm_g_sparsity,norm_g_total,gradient_ratio,patch_id
0,10.895160805658445,1.0767995337327624e-14,0.004640111886609474,0.004640111886608568,4640111886.609474,0
1,10.350402765375522,0.001086680598345696,0.005116523585592527,0.004275303865233753,4.708396923053239,0
2,9.832882627106745,0.0019073873692785433,0.0056393022757401596,0.004155649533621506,2.9565584666072255,0
3,9.341238495751407,0.002591381823405851,0.006212393178046659,0.004176216851762067,2.3973283759016706,0
4,8.874176570963836,0.0032080295616898685,0.006839982079248374,0.004289491948340305,2.1321443421005544,0
5,8.430467742415644,0.0037972175895992647,0.007526489541403951,0.004472562608499516,1.9821064671193234,0
6,8.008944355294862,0.004383665814605539,0.008276563442435958,0.004713888181589266,1.888046167857966,0
7,7.608497137530118,0.004983905566103274,0.009095070030823086,0.005007724505192148,1.8248881143898108,0
8,7.2280722806536115,0.0056098336901702186,0.009987084384417788,0.005351605412407098,1.7802817224185394,0
9,6.866668666620931,0.006270605387095822,0.010957882010673348,0.005745138231166158,1.7474998559506547,0
10,6.523335233289884,0.006973682765925582,0.012012934390220588,0.006189421911589695,1.7226098165688746,0
11,6.197168471625389,0.007725432066452973,0.01315791260327667,0.006686794795155124,1.7031943961314189,0
12,5.887310048044119,0.008531466963167809,0.014398704819130966,0.007240781094139676,1.6877173505205252,0
13,5.592944545641913,0.009382098249829567,0.015741455363198858,0.007828260851413308,1.6778182176342924,0
14,5.313297318359817,0.010323378723820888,0.017192637428845612,0.008502116060449566,1.6654079917821978,0
15,5.047632452441826,0.011355276942649341,0.018759166138711255,0.009294390099002691,1.6520218954989647,0
16,4.795250829819735,0.012412470346839835,0.020448562952383863,0.01014135652323713,1.6474208905232137,0
17,4.555488288328748,0.013549509212448364,0.022269202403129004,0.011086327831415181,1.6435431021124796,0
18,4.327713873912311,0.01476746805916335,0.024230654481830254,0.012145268053433874,1.6408130618433883,0
19,4.111328180216695,0.016067667660797615,0.026344108162552664,0.01333786417061684,1.639572632363303,0
