iteration,sigma,mu,objective,fidelity_term,sparsity_term,absolute_residual,relative_residual,normalized_rmse,gradient_fidelity_norm,gradient_sparsity_norm,gradient_total_norm,active_count,patch_id
0,10.895160805658445,0.2,-6.386330234703658,6.098442724427599e-29,-6.386330234703658,1.1043951036135211e-14,1.957448149634728e-15,1.7915654319804113e-15,1.0767995337327624e-14,0.004640111886609474,0.004640111886608568,64,0
1,10.350402765375522,0.2,-6.384894785512241,4.118774306787754e-07,-6.384895197389672,0.0009076094211485196,0.00016086619509678035,0.0001472336901303816,0.001086680598345696,0.005116523585592527,0.004275303865233753,64,0
2,9.832882627106745,0.2,-6.383311916768863,1.3655975930835752e-06,-6.383313282366456,0.0016526328043964123,0.0002929153718996807,0.0002680924421365035,0.0019073873692785433,0.0056393022757401596,0.004155649533621506,64,0
3,9.341238495751407,0.2,-6.381567909769823,2.6820196568070564e-06,-6.38157059178948,0.0023160395751398795,0.00041049868529884846,0.0003757112312742788,0.002591381823405851,0.006212393178046659,0.004176216851762067,64,0
4,8.874176570963836,0.2,-6.3796477382526655,4.330383429603903e-06,-6.379652068636095,0.0029429180857114944,0.0005216076694431311,0.00047740435413554187,0.0032080295616898685,0.006839982079248374,0.004289491948340305,64,0
5,8.430467742415644,0.2,-6.377535123599532,6.338865232777451e-06,-6.377541462464765,0.0035605800743074016,0.0006310831019872313,0.0005776023597040228,0.0037972175895992647,0.007526489541403951,0.004472562608499516,64,0
6,8.008944355294862,0.2,-6.37521253263274,8.765707604289727e-06,-6.375221298340344,0.004187053284659684,0.0007421202500502255,0.0006792297341877213,0.004383665814605539,0.008276563442435958,0.004713888181589266,64,0
7,7.608497137530118,0.2,-6.3726611638970825,1.1689849915898628e-05,-6.372672853746998,0.004835255922058031,0.0008570087577058846,0.0007843820872071894,0.004983905566103274,0.009095070030823086,0.005007724505192148,64,0
8,7.2280722806536115,0.2,-6.369860939227115,1.5208490582232324e-05,-6.369876147717697,0.005515159214788332,0.0009775159419491807,0.0008946769655853836,0.0056098336901702186,0.009987084384417788,0.005351605412407098,64,0
9,6.866668666620931,0.2,-6.3667905088164884,1.943739115234599e-05,-6.366809946207641,0.006234964499072307,0.0011050954211780232,0.0010114448017393626,0.006270605387095822,0.010957882010673348,0.005745138231166158,64,0
10,6.523335233289884,0.2,-6.363427275308447,2.4512387148734846e-05,-6.363451787695595,0.007001769369057345,0.0012410051847193486,0.0011358369774783252,0.006973682765925582,0.012012934390220588,0.006189421911589695,64,0
11,6.197168471625389,0.2,-6.359747441484632,3.0591474519150826e-05,-6.3597780329591505,0.007821953019438409,0.0013863758915928278,0.0012688883348313579,0.007725432066452973,0.01315791260327667,0.006686794795155124,64,0
12,5.887310048044119,0.2,-6.355726085653552,3.7857165774853324e-05,-6.355763942819326,0.008701398252563013,0.0015422502194173797,0.001411553190355506,0.008531466963167809,0.014398704819130966,0.007240781094139676,64,0
13,5.592944545641913,0.2,-6.351337268351328,4.651892774983191e-05,-6.351383787279078,0.009645613277530041,0.001709604452284914,0.0015647250935586757,0.009382098249829567,0.015741455363198858,0.007828260851413308,63,0
14,5.313297318359817,0.2,-6.346554080830861,5.689043950041222e-05,-6.346610971270362,0.010666812035506412,0.0018906034093311463,0.001730385407334572,0.010323378723820888,0.017192637428845612,0.008502116060449566,63,0
15,5.047632452441826,0.2,-6.341349056912821,6.916264149498514e-05,-6.341418219554316,0.01176117693897895,0.002084570455030504,0.001907914837211517,0.011355276942649341,0.018759166138711255,0.009294390099002691,64,0
16,4.795250829819735,0.2,-6.335694347154474,8.350299649206562e-05,-6.335777850150966,0.012923079856757492,0.0022905080501012536,0.0020964003797495317,0.012412470346839835,0.020448562952383863,0.01014135652323713,64,0
17,4.555488288328748,0.2,-6.329561595910472,0.00010041091212375545,-6.329662006822596,0.014171161711289265,0.0025117201424722136,0.0022988659918791936,0.013549509212448364,0.022269202403129004,0.011086327831415181,64,0
18,4.327713873912311,0.2,-6.322922591353188,0.00012025294866375592,-6.323042844301852,0.01550825255557543,0.0027487083354185483,0.0025157707688202263,0.01476746805916335,0.024230654481830254,0.012145268053433874,64,0
19,4.111328180216695,0.2,-6.315749446043767,0.00014343378247389047,-6.31589287982624,0.016937165198101508,0.003001971175768948,0.00274757100836252,0.016067667660797615,0.026344108162552664,0.01333786417061684,64,0
20,3.90576177120586,0.2,-6.308014892649236,0.00017039478360574936,-6.308185287432842,0.01846048664611794,0.0032719671889676932,0.0029946863784987166,0.017451356739428995,0.028622906601079322,0.014687861638273984,64,0
21,3.710473682645567,0.2,-6.299692561336104,0.00020161275856694615,-6.299894174094671,0.02008047601860803,0.0035590967850002335,0.0032574833567207916,0.0189195617214887,0.031083179450269487,0.016223368177362932,64,0
22,3.5249499985132884,0.2,-6.290757211221755,0.0002375990843901901,-6.290994810306145,0.021799040547243822,0.003863698004762905,0.0035362713368610084,0.02047304955987576,0.03374454729760834,0.017976962289344835,64,0
23,3.348702498587624,0.2,-6.28118488083094,0.0002788999298544653,-6.281463780760795,0.02361778693503967,0.004186055622955648,0.0038313109605656918,0.022112390632700898,0.03663084931771043,0.019985504543182327,64,0
24,3.1812673736582426,0.2,-6.270952915437655,0.00032609870864123237,-6.271279014146296,0.025538156105765833,0.004526425031290961,0.004142835976536594,0.023838124612346363,0.039770817403210965,0.02228958896291738,64,0
25,3.0222040049753303,0.2,-6.260039823412429,0.0003798223899506554,-6.260419645802379,0.027561654157566645,0.004885073173095208,0.004471090706155052,0.025651038848134168,0.04319859313793031,0.02493261530987811,64,0
26,2.8710938047265637,0.2,-6.248424910702917,0.00044075379185348247,-6.24886566449477,0.02969019339288589,0.005262338988016697,0.004816385365841126,0.027552570363458165,0.046953966103083375,0.027959512290852653,64,0
27,2.7275391144902352,0.2,-6.236087644371766,0.0005096524527830868,-6.2365972968245496,0.03192655486528689,0.00565871539458918,0.0051791711020561,0.029545339720582858,0.051082213699196743,0.03141519007251268,64,0
28,2.5911621587657234,0.2,-6.223006705268144,0.0005873870416618108,-6.223594092309806,0.03427497751018404,0.006074953708737203,0.00556013556092698,0.03163381744110396,0.055633454162631574,0.03534284130975913,64,0
29,2.4616040508274373,0.2,-6.209158709381861,0.000674982431887844,-6.209833691813749,0.0367418679951862,0.006512189458825137,0.005960318041177987,0.033825110876103424,0.06066149100321519,0.03978224060188751,64,0
30,2.3385238482860653,0.2,-6.194516610163611,0.0007736844240886671,-6.1952902945877,0.03933660951553062,0.006972085737897738,0.006381240698075254,0.03612984114954796,0.06622222362767398,0.04476821377060569,64,0
31,2.221597655871762,0.2,-6.179047842191308,0.0008850445582070619,-6.179932886749516,0.042072427032607995,0.007456986559987532,0.00682504890364998,0.03856305653020676,0.07237180686351428,0.05032946101946743,64,0
32,2.1105177730781737,0.2,-6.162712329956848,0.001011026431562258,-6.1637233563884095,0.04496724211161405,0.007970068372954177,0.007294649919677103,0.04114510205195573,0.07916483122149631,0.05648791755100328,64,0
33,2.004991884424265,0.2,-6.1454605602306565,0.0011541334005966855,-6.146614693631253,0.048044425287366806,0.008515473409046424,0.0077938349475273885,0.043902338910784156,0.0866528322296885,0.0632588112280379,64,0
34,1.9047422902030515,0.2,-6.12723199259837,0.0013175555085659868,-6.128549548106935,0.05133333241795212,0.009098404749109446,0.008327366136218036,0.046867586780596444,0.09488339599847145,0.07065151627149867,64,0
35,1.8095051756928988,0.2,-6.107954143546778,0.0015053310366740659,-6.109459474583453,0.05486950039273304,0.009725161010196128,0.008901008330444087,0.05008015546181388,0.10390000510899025,0.07867119626831463,64,0
36,1.7190299169082537,0.2,-6.0875427020334945,0.001722515406609639,-6.089265217440104,0.05869438485255023,0.010403089858661563,0.0095214865231766,0.05358534818685302,0.11374258751357966,0.08732108397996002,64,0
37,1.6330784210628408,0.2,-6.065902994295147,0.0019753476072360767,-6.067878341902383,0.06285455603591639,0.011140445480612375,0.010196355404689505,0.05743336557262282,0.12444854107547586,0.09660508488922014,64,0
38,1.5514245000096987,0.2,-6.042932995190867,0.002271402451632046,-6.045204397642499,0.06740033310944459,0.01194614652837287,0.010933777821700888,0.06167762030612313,0.13605387110267764,0.10653026079200226,64,0
39,1.4738532750092137,0.2,-6.018527883458152,0.002619716645234571,-6.021147600103387,0.07238392978050544,0.01282944744580501,0.011742223956022917,0.06637258266495959,0.14859405217418378,0.11710870095240739,64,0
40,1.400160611258753,0.2,-5.9925858878012725,0.0030308788657523486,-5.995616766667025,0.07785729080506652,0.013799555007379205,0.012630120359788943,0.07157139691562588,0.16210432693530885,0.12835835868596418,64,0
41,1.3301525806958152,0.2,-5.965014928150691,0.003517079537793336,-5.968532007688484,0.08386989373778098,0.014865238696723855,0.013605493352228873,0.07732360537727669,0.1766193480331101,0.14030262161273863,64,0
42,1.2636449516610244,0.2,-5.93573939684459,0.004092124417919933,-5.9398315212625095,0.09046683832123165,0.016034492066814607,0.014675659077677126,0.08367335008284066,0.1921722752820685,0.15296865097072562,64,0
